model,type,dataset,learning_rate,dropout_rate,num_neurons,stride,kernel_size,val_loss,val_accuracy
SimpleCNN,calc,prop,0.005164763186528679,0.14091298489888732,16,8,8,0.6621436010445317,0.6440129449838188
SimpleCNN,calc,prop,0.000142702993180018,0.1437573445322898,64,8,8,0.6639202371720345,0.6343042071197411
SimpleCNN,calc,prop,0.0005224832671058252,0.15406855586416496,16,4,2,0.6395813005585824,0.6407766990291263
SimpleCNN,calc,prop,0.00024570632775039865,0.10714239789828495,64,2,8,0.8758074485005871,0.627831715210356
SimpleCNN,calc,prop,0.0001841277521020477,0.11502330336540695,32,8,32,0.6285388404803891,0.6472491909385113
SimpleCNN,calc,prop,0.003330385814510549,0.139347883807089,64,8,8,0.6324079329929044,0.6343042071197411
SimpleCNN,calc,prop,0.000837176475649807,0.1435053246715487,128,4,32,0.6486839618413679,0.6407766990291263
SimpleCNN,calc,prop,0.0007115030016150058,0.12587027857029992,64,2,32,0.9037762922385046,0.6407766990291263
SimpleCNN,calc,prop,0.00040718844132884506,0.174551435387878,128,4,2,0.6367643595703186,0.656957928802589
SimpleCNN,calc,prop,0.00016082032888641948,0.15589914034748842,128,2,2,0.7706737818737184,0.6343042071197411
SimpleCNN,calc,prop,0.0020370338672761365,0.1950032473905423,32,8,16,0.6297004270938135,0.656957928802589
SimpleCNN,calc,prop,0.0018383709157924575,0.19646379853847293,32,8,16,0.6250171935366046,0.6472491909385113
SimpleCNN,calc,prop,0.0016697643525920517,0.10066896758189375,32,8,16,0.6203154897497546,0.6504854368932039
SimpleCNN,calc,prop,0.0017265475263401702,0.19646890927234442,32,8,16,0.6444508104074386,0.6472491909385113
SimpleCNN,calc,prop,0.00943385380366075,0.17425568059249064,32,8,16,0.6306240534590136,0.6440129449838188
SimpleCNN,calc,prop,0.001597280676573738,0.17434012028810406,32,8,16,0.6233655642117223,0.6472491909385113
SimpleCNN_Meta,calc,prop,0.0061111181706682335,0.19146778967790778,64,2,2,1.2831506149276444,0.5608695652173913
SimpleCNN_Meta,calc,prop,0.00020034005530129232,0.11386031732469462,64,8,8,43.57224673524564,0.5869565217391305
SimpleCNN_Meta,calc,prop,0.0012870147064271032,0.19643433275567945,32,4,16,0.7438782149034998,0.6
SimpleCNN_Meta,calc,prop,0.0002720631564569687,0.13612496793967413,128,2,32,4.2867954543427285,0.5260869565217391
SimpleCNN_Meta,calc,prop,0.00013104054095562678,0.12672491852301984,64,4,32,113.65500267173933,0.43478260869565216
SimpleCNN_Meta,calc,prop,0.0004399737364035934,0.16866544662282992,32,4,2,3.228706282523015,0.5739130434782609
SimpleCNN_Meta,calc,prop,0.0005739203697134195,0.1354493752135027,16,8,16,2.07432338465815,0.5521739130434783
SimpleCNN_Meta,calc,prop,0.003672483872349127,0.10500545394997865,128,4,32,0.7324446744245031,0.5869565217391305
SimpleCNN_Meta,calc,prop,0.00015192456361683675,0.19713079355650662,32,4,16,61.91059099202571,0.39565217391304347
SimpleCNN_Meta,calc,prop,0.00041003917488752645,0.14575045753597823,128,2,2,2.9724975849461295,0.6260869565217392
SimpleCNN_Meta,calc,prop,0.006400450397965025,0.10158413239790595,128,4,32,0.9085931622463724,0.5739130434782609
SimpleCNN_Meta,calc,prop,0.002064720351145939,0.1675395856157827,32,4,16,2.0127612161247628,0.6347826086956522
SimpleCNN_Meta,calc,prop,0.0019384025591787173,0.16647531075969627,16,4,8,0.9290137174336807,0.5826086956521739
SimpleCNN_Meta,calc,prop,0.0019473521049783978,0.18143166024103335,128,4,16,0.8170811184074568,0.5608695652173913
SimpleCNN_Meta,calc,prop,0.0037326537138652302,0.15651724186940702,32,4,32,1.284011156986589,0.6173913043478261
SimpleCNN_Meta,calc,prop,0.0010522143371485527,0.11745037791982046,128,8,16,0.81412974777429,0.5478260869565217
SimpleCNN,calc,dist,0.005648596434646284,0.1172837816729699,16,8,32,0.6092171697847305,0.6456310679611651
SimpleCNN,calc,dist,0.004612639979385695,0.11557014303567414,64,2,16,1.4047367429781346,0.6294498381877023
SimpleCNN,calc,dist,0.00014040763844432535,0.18828290511165033,64,2,32,0.6189183108508587,0.6699029126213593
SimpleCNN,calc,dist,0.0043112863846674265,0.1185655036932766,16,8,16,0.5941504677457194,0.6650485436893204
SimpleCNN,calc,dist,0.0010976528502048511,0.16313785246659482,64,8,32,0.595963500680462,0.6731391585760518
