model,type,dataset,learning_rate,dropout_rate,num_neurons,stride,kernel_size,val_loss,val_accuracy
SimpleCNN,mass,prop,0.005180350612198667,0.16021819069229815,32,4,16,0.7297940841492485,0.4837758112094395
SimpleCNN,mass,prop,0.007227582845705081,0.1426695131817271,128,2,32,1.0908483534174807,0.5339233038348082
SimpleCNN,mass,prop,0.0013204622366057477,0.14307346462634984,64,8,16,0.6954944484374103,0.5339233038348082
SimpleCNN,mass,prop,0.0002980500386951828,0.11013950314267976,64,8,32,0.693367724032963,0.5575221238938053
SimpleCNN,mass,prop,0.001368014683430536,0.1512905478302319,64,2,2,0.68747718018644,0.5398230088495575
SimpleCNN,mass,prop,0.00012752191824639254,0.17838259658181177,64,8,8,0.6987608732546077,0.46607669616519176
SimpleCNN,mass,prop,0.0006522021665367389,0.12711812793636457,16,8,2,0.6876701905446894,0.5427728613569321
SimpleCNN,mass,prop,0.0007415658180005393,0.19715989247051158,32,2,32,0.7182343711747843,0.5368731563421829
SimpleCNN,mass,prop,0.0003156270697481971,0.13106345540687103,16,2,32,0.811236205346444,0.46017699115044247
SimpleCNN,mass,prop,0.0012640867093109782,0.10621055492594321,128,8,32,0.6934741893235374,0.5103244837758112
SimpleCNN,mass,prop,0.0029742596901308122,0.16550348042807272,64,4,2,0.6971753774320378,0.5339233038348082
SimpleCNN,mass,prop,0.0005676602632790375,0.12790411298559748,16,2,2,1.4591868538957309,0.5339233038348082
SimpleCNN,mass,prop,0.002654480902871797,0.12293705361335462,16,8,2,0.6953417562386569,0.46607669616519176
SimpleCNN,mass,prop,0.002230298201101344,0.15483114419730798,16,2,2,0.6907752200084574,0.5339233038348082
SimpleCNN,mass,prop,0.0004054512947557143,0.17522138557430986,64,4,2,0.7470352413023219,0.5339233038348082
SimpleCNN,mass,prop,0.00017554443684190195,0.1397614807958459,16,8,8,0.6875165183754528,0.5368731563421829
SimpleCNN_Meta,mass,prop,0.0006303915864217652,0.1648264281168165,16,8,2,2.3355077080372157,0.5644171779141104
SimpleCNN_Meta,mass,prop,0.00016270018051824095,0.17538180901204495,16,4,2,9.94817172911258,0.44785276073619634
SimpleCNN_Meta,mass,prop,0.0017696774145579163,0.11411567794909838,32,2,16,1.5754753656290246,0.5858895705521472
SimpleCNN_Meta,mass,prop,0.0037069123376552485,0.11951533207654802,128,4,32,0.7120311114598404,0.6901840490797546
SimpleCNN_Meta,mass,prop,0.0035227804182118715,0.1535344184748863,32,4,16,0.6529562401895722,0.745398773006135
SimpleCNN_Meta,mass,prop,0.0005417143274490934,0.11206270827496184,16,4,32,1.1931292317581899,0.5705521472392638
SimpleCNN_Meta,mass,prop,0.00026928945171428607,0.11115549070535162,64,8,8,4.311017629049192,0.5705521472392638
SimpleCNN_Meta,mass,prop,0.0002940449656511333,0.180963279797679,32,8,2,6.043486517233484,0.6073619631901841
SimpleCNN_Meta,mass,prop,0.0007208840502268672,0.1070035389194679,64,2,8,1.341307560602824,0.6226993865030674
SimpleCNN_Meta,mass,prop,0.0031250948064586556,0.18034082659367273,128,4,8,0.6678391151045534,0.7269938650306749
SimpleCNN_Meta,mass,prop,0.008797659589734854,0.14097975197824092,32,4,16,0.8163292573934252,0.6932515337423313
SimpleCNN_Meta,mass,prop,0.002488438955532927,0.19328063634638706,128,4,8,0.8207977998042197,0.6901840490797546
SimpleCNN_Meta,mass,prop,0.007160458204211472,0.15102120619253956,128,4,16,1.6037665924593554,0.6993865030674846
SimpleCNN_Meta,mass,prop,0.0041333348271208594,0.14749956465435113,128,4,16,0.663993225531709,0.745398773006135
SimpleCNN_Meta,mass,prop,0.001437044953933774,0.13675720804754118,32,4,16,0.9127400570803068,0.5398773006134969
SimpleCNN_Meta,mass,prop,0.00508231906835375,0.15539825699278723,128,2,16,0.829996407540007,0.7300613496932515
SimpleCNN,mass,dist,0.002861896039134976,0.11054700436770065,16,8,16,0.6884407760465846,0.5457227138643068
SimpleCNN,mass,dist,0.00522903002484191,0.15036260633316925,128,4,8,0.7148676034720505,0.5294985250737463
SimpleCNN,mass,dist,0.002495849700622081,0.11276854707085582,16,2,8,0.6963522166890257,0.5088495575221239
SimpleCNN,mass,dist,0.004756995302663635,0.12093887327965314,128,4,8,0.7537003681063652,0.5
SimpleCNN,mass,dist,0.004521107613148221,0.1646933916608863,16,4,32,0.705964095890522,0.5176991150442478
SimpleCNN,mass,dist,0.0001214986547137586,0.14110297080975376,16,8,16,0.6905688538270838,0.5398230088495575
SimpleCNN,mass,dist,0.00015526640503346053,0.18257712033462756,16,4,16,0.6957302207455915,0.5309734513274337
SimpleCNN,mass,dist,0.00048354950895230906,0.19641333316737142,16,2,8,0.6925502678050715,0.523598820058997
SimpleCNN,mass,dist,0.0006226435896857428,0.13646540368421428,128,2,16,0.696111134308226,0.5014749262536873
SimpleCNN,mass,dist,0.0025070183490923546,0.16290756761842096,32,2,2,0.6931736797970884,0.504424778761062
SimpleCNN,mass,dist,0.0014137138463853412,0.10070745862262959,64,8,32,0.7450413425617358,0.49557522123893805
SimpleCNN,mass,dist,0.00020693713569581277,0.1313581620694718,16,8,16,0.6897512209766051,0.5501474926253688
SimpleCNN,mass,dist,0.0002673960713704249,0.12474876589579532,32,8,16,0.6915676234399571,0.5486725663716814
SimpleCNN,mass,dist,0.0013117854899419021,0.10234495695849999,64,8,16,0.6868423468926373,0.5471976401179941
SimpleCNN,mass,dist,0.0012706779319888687,0.10395849824566596,64,8,2,0.6900306935696041,0.5619469026548672
SimpleCNN,mass,dist,0.009324688849302128,0.11405103448199107,64,8,16,0.6847592460758546,0.5648967551622419
SimpleCNN_Meta,mass,dist,0.0005576094536111743,0.1621768627826265,64,8,16,0.9290094348879261,0.6543778801843319
SimpleCNN_Meta,mass,dist,0.0001670837243070771,0.16163213767465867,64,8,8,1.4948235463550072,0.49923195084485406
SimpleCNN_Meta,mass,dist,0.0006169366273492845,0.12303202034924349,32,8,16,1.8991368479143276,0.6175115207373272
SimpleCNN_Meta,mass,dist,0.0002566213831296982,0.11351855023992144,16,4,8,1.389613961630309,0.6298003072196621
SimpleCNN_Meta,mass,dist,0.0013007611416719729,0.18303942265338363,32,2,16,0.5308340152597609,0.7496159754224271
SimpleCNN_Meta,mass,dist,0.0020907811600796807,0.1671618367729688,32,4,16,0.48071943183664145,0.8187403993855606
SimpleCNN_Meta,mass,dist,0.004452066779722756,0.11898481133536189,16,4,2,0.5120052833764153,0.8095238095238095
SimpleCNN_Meta,mass,dist,0.0012608820627170768,0.1541047003625889,32,4,2,0.6943985456956252,0.6466973886328725
SimpleCNN_Meta,mass,dist,0.0007117469881731697,0.19529540147440924,32,8,8,0.4958638386758229,0.7726574500768049
SimpleCNN_Meta,mass,dist,0.00020684839048052157,0.1778859980566458,64,2,2,4.296282387951758,0.5529953917050692
SimpleCNN_Meta,mass,dist,0.007132657045318413,0.1350930466023419,128,4,32,1.132690581062965,0.7050691244239631
SimpleCNN_Meta,mass,dist,0.0020587066618747434,0.19824757942823903,32,8,8,0.43691968969033873,0.8125960061443932
SimpleCNN_Meta,mass,dist,0.002982214135209931,0.19757656756757194,32,8,32,0.4556520459533648,0.8233486943164362
SimpleCNN_Meta,mass,dist,0.0031763889234026847,0.19612680645217603,128,8,32,0.4298530999315149,0.8187403993855606
SimpleCNN_Meta,mass,dist,0.007901319805784082,0.18295903749817977,128,8,32,0.6353528947846694,0.7987711213517665
SimpleCNN_Meta,mass,dist,0.002968780265685988,0.14376838893683552,128,8,32,0.5597614981305167,0.8095238095238095
